artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Bad Bunny,0.746023255813953,0.6794186046511627,4.627906976744186,-5.783139534883734,0.5116279069767442,0.11992325581395344,0.19506279069767452,0.00018119558139534898,0.1543,0.5235813953488371,121.80855813953488,210723.97674418605
Billie Eilish,0.5837857142857144,0.2817214285714287,5.0,-15.085071428571428,0.7142857142857143,0.1930857142857143,0.6568571428571429,0.12069271999999996,0.23930714285714286,0.2880071428571428,105.4942857142857,183947.64285714287
Black Eyed Peas,0.777580786026201,0.6733013100436681,5.764192139737991,-6.489314410480346,0.4410480349344978,0.16629082969432304,0.10605234934497818,0.008263058558951965,0.24616899563318773,0.5929694323144099,110.40216157205244,261998.93013100437
Camila Cabello,0.6193200000000001,0.53628,4.96,-6.122319999999999,0.56,0.085424,0.329892,0.00016935639999999998,0.14533200000000002,0.42068400000000006,112.84728,201105.52
Doja Cat,0.7216842105263158,0.6401578947368419,4.56140350877193,-5.728298245614035,0.7017543859649122,0.0883157894736842,0.1596605263157895,0.0019013238596491233,0.15985438596491233,0.3986491228070176,126.99142105263162,209294.01754385966
Dua Lipa,0.645,0.6711826923076927,5.826923076923077,-5.400836538461535,0.4423076923076923,0.07079807692307687,0.09768631730769234,6.891923076923078e-06,0.16825,0.4475000000000002,108.68526923076931,214435.65384615384
Eminem,0.7010520833333337,0.7349827083333328,5.602083333333334,-5.837464583333334,0.5583333333333333,0.3052277083333333,0.20131160624999986,0.015063203895833328,0.3163891666666662,0.5444931249999996,111.49804375000012,240201.72708333333
Future,0.7227961165048544,0.5731229126213597,5.135922330097087,-7.883322330097087,0.5611650485436893,0.22030155339805832,0.1759648271844659,0.02282213489320389,0.21415067961165044,0.3727763106796118,130.01336504854362,209120.8718446602
Halsey,0.5720399999999999,0.6261466666666664,5.0,-6.261613333333333,0.36,0.061710666666666684,0.23453039999999997,0.00933194066666667,0.17461333333333337,0.3698853333333333,114.29680000000003,192999.76
Harry Styles,0.5394545454545454,0.5862272727272728,4.590909090909091,-6.446954545454545,0.7272727272727273,0.03523181818181819,0.27998204545454547,0.019864726818181824,0.15483636363636363,0.4088772727272728,114.69063636363636,237592.77272727274
J Balvin,0.7775807860262006,0.6733013100436682,5.764192139737991,-6.489314410480353,0.4410480349344978,0.1662908296943231,0.10605234934497818,0.008263058558951968,0.24616899563318773,0.5929694323144107,110.40216157205253,261998.93013100437
Justin Bieber,0.6170817307692308,0.6424817307692307,5.076923076923077,-6.309644230769233,0.5817307692307693,0.0648899038461539,0.24257830769230773,0.0035782158653846156,0.1879721153846152,0.5354682692307697,117.37524999999997,217341.07211538462
KAROL G,0.7471379310344827,0.6987931034482757,6.0344827586206895,-5.284758620689654,0.4827586206896552,0.10183793103448274,0.2408231034482759,7.526586206896551e-05,0.15724827586206896,0.600793103448276,122.63958620689658,194043.72413793104
Lady Gaga,0.6387119047619042,0.7057652380952377,4.980952380952381,-6.228338095238083,0.6071428571428571,0.0753940476190477,0.15650658999999983,0.018890462880952377,0.2401092857142859,0.5243928571428572,118.48697857142875,229294.46666666667
Lewis Capaldi,0.5868888888888889,0.4452222222222223,5.925925925925926,-6.629111111111111,0.9629629629629629,0.04384444444444446,0.6867407407407408,7.37037037037037e-08,0.12708148148148146,0.3438888888888889,111.12218518518517,212763.37037037036
Lil Mosey,0.7175853658536587,0.6025365853658536,5.390243902439025,-7.71082926829268,0.7073170731707317,0.0697121951219512,0.28578536585365855,7.263048780487805e-05,0.1510268292682927,0.5497560975609755,127.19658536585366,152458.75609756098
Lil Uzi Vert,0.7232970297029707,0.630287128712871,5.316831683168317,-6.169386138613863,0.5742574257425742,0.20390792079207923,0.19140200000000024,9.56138613861386e-07,0.20610891089108907,0.41236930693069324,128.2462475247524,210377.0396039604
Maroon 5,0.6415374507227327,0.7161038107752953,5.265440210249672,-5.920015768725348,0.5611038107752957,0.08689645203679361,0.13714710262812083,0.0009188681208935613,0.20131195795006587,0.5784411300919844,117.83129960578188,213688.31537450722
Post Malone,0.6176119402985076,0.6196119402985075,4.477611940298507,-5.840462686567165,0.5970149253731343,0.07309552238805968,0.30648059701492547,0.00942313820895522,0.14156268656716417,0.3469999999999999,121.89094029850745,209971.16417910447
Roddy Ricch,0.7797777777777777,0.5461555555555557,5.333333333333333,-8.466577777777776,0.4888888888888889,0.24241555555555555,0.11060540000000003,1.1109777777777779e-05,0.18141111111111113,0.3556311111111112,130.3012666666667,177773.55555555556
SAINt JHN,0.7644074074074075,0.6022222222222224,3.8518518518518516,-6.4028518518518505,0.5555555555555556,0.08457037037037038,0.21848925925925927,0.011858706296296297,0.15829259259259257,0.39188518518518517,121.0442962962963,196996.33333333334
Shawn Mendes,0.5753228346456691,0.5526377952755903,6.275590551181103,-7.008141732283465,0.6850393700787402,0.08309527559055113,0.35055264566929145,4.523149606299212e-06,0.2607102362204726,0.46984251968503965,119.08016535433066,217700.88976377953
Surfaces,0.6575757575757575,0.560121212121212,5.333333333333333,-7.907363636363634,0.8484848484848485,0.08112121212121214,0.38986363636363647,0.12131484515151514,0.20984242424242425,0.48718484848484844,116.00457575757574,176826.48484848486
The Weeknd,0.5736179775280904,0.6095224719101122,5.247191011235955,-7.5715561797752855,0.2303370786516854,0.07742977528089894,0.27588297752808993,0.01287730404494382,0.19882696629213473,0.3215157303370787,122.97185393258428,291269.84831460676
